,0
Coal Steam CCSp61,0.0
Combined Cyclep61,0.0
Combined Cycle CCSp61,0.0
Nuclearp61,0.0
Battery Storagep61,0.0
Hydrogenp61,0.0
DACp61,0.0
Coal Steam CCSp62,0.0
Combined Cyclep62,0.0
Combined Cycle CCSp62,0.0
Nuclearp62,0.0
Battery Storagep62,0.0
Hydrogenp62,0.0
DACp62,0.0
Coal Steam CCSp60,0.0
Combined Cyclep60,0.0
Combined Cycle CCSp60,0.0
Nuclearp60,0.0
Battery Storagep60,0.0
Hydrogenp60,0.0
DACp60,0.0
Coal Steam CCSp63,0.0
Combined Cyclep63,0.0
Combined Cycle CCSp63,0.0
Nuclearp63,0.0
Battery Storagep63,0.0
Hydrogenp63,0.0
DACp63,0.0
Coal Steam CCSp64,0.0
Combined Cyclep64,0.0
Combined Cycle CCSp64,0.0
Nuclearp64,0.0
Battery Storagep64,0.0
Hydrogenp64,0.0
DACp64,0.0
Coal Steam CCSp65,0.0
Combined Cyclep65,0.0
Combined Cycle CCSp65,0.0
Nuclearp65,0.0
Battery Storagep65,0.0
Hydrogenp65,0.0
DACp65,0.0
Coal Steam CCSp67,0.0
Combined Cyclep67,0.0
Combined Cycle CCSp67,0.0
Nuclearp67,0.0
Battery Storagep67,0.0
Hydrogenp67,0.0
DACp67,0.0
windlat27.0lon-97.5p65,0.0
windlat27.5lon-98.125p65,0.0
windlat28.0lon-99.375p65,0.0
windlat28.5lon-98.75p65,0.0
windlat29.0lon-100.625p65,0.0
windlat29.0lon-98.125p65,0.0
solarlat26.5lon-98.75p65,0.0
solarlat27.0lon-98.75p65,0.0
solarlat27.5lon-98.75p65,0.0
solarlat28.0lon-99.375p65,0.0
solarlat28.5lon-98.75p65,39.88627812993792
solarlat29.0lon-100.625p65,0.0
solarlat29.0lon-98.125p65,167.73623960352563
windlat29.0lon-95.625p67,0.0
windlat29.5lon-95.625p67,0.0
solarlat29.0lon-95.625p67,0.0
solarlat29.5lon-95.625p67,9.493543655611639
windlat29.5lon-103.125p61,0.0
windlat29.5lon-100.625p61,0.0
windlat30.0lon-104.375p61,0.0
windlat30.0lon-101.875p61,0.0
windlat30.5lon-103.75p61,0.0
windlat30.5lon-101.25p61,0.0
windlat31.0lon-103.75p61,0.0
windlat31.0lon-101.25p61,0.0
windlat31.5lon-104.375p61,0.0
windlat31.5lon-99.375p61,0.0
windlat32.0lon-100.625p61,0.0
windlat32.5lon-99.375p61,0.0
solarlat29.5lon-103.125p61,0.0
solarlat29.5lon-100.625p61,0.0
solarlat30.0lon-104.375p61,0.0
solarlat30.0lon-101.875p61,0.0
solarlat30.5lon-103.75p61,0.0
solarlat30.5lon-101.25p61,0.0
solarlat31.0lon-103.75p61,0.0
solarlat31.0lon-101.25p61,0.0
solarlat31.5lon-104.375p61,0.0
solarlat31.5lon-99.375p61,0.0
solarlat32.0lon-100.625p61,0.0
solarlat32.5lon-99.375p61,0.0
windlat29.5lon-98.125p64,0.0
windlat30.0lon-99.375p64,0.0
windlat30.0lon-96.875p64,0.0
windlat30.5lon-98.75p64,0.0
windlat30.5lon-96.25p64,0.0
solarlat29.5lon-98.125p64,0.0
solarlat30.0lon-99.375p64,0.0
solarlat30.0lon-96.875p64,0.0
solarlat30.5lon-98.75p64,0.0
solarlat30.5lon-96.25p64,0.0
windlat31.0lon-98.75p63,0.0
windlat31.0lon-96.25p63,0.0
windlat31.5lon-96.875p63,0.0
windlat32.0lon-98.125p63,0.0
windlat32.0lon-95.625p63,0.0
windlat32.5lon-96.875p63,0.0
windlat33.0lon-98.125p63,0.0
windlat33.0lon-95.625p63,0.0
windlat33.5lon-96.25p63,0.0
solarlat31.0lon-98.75p63,0.0
solarlat31.0lon-96.25p63,0.0
solarlat31.5lon-96.875p63,0.0
solarlat32.0lon-98.125p63,0.0
solarlat32.0lon-95.625p63,0.0
solarlat32.5lon-96.875p63,0.0
solarlat33.0lon-98.125p63,0.0
solarlat33.0lon-95.625p63,0.0
solarlat33.5lon-95.625p63,0.0
windlat31.5lon-101.875p62,0.0
windlat32.0lon-103.125p62,0.0
windlat32.5lon-101.875p62,0.0
solarlat31.5lon-101.875p62,0.0
solarlat32.0lon-103.125p62,0.0
solarlat32.5lon-101.875p62,0.0
windlat33.0lon-100.625p60,0.0
windlat33.5lon-99.375p60,0.0
windlat34.0lon-99.375p60,0.0
windlat34.5lon-101.25p60,0.0
solarlat33.0lon-100.625p60,0.0
solarlat33.5lon-99.375p60,0.0
